Kode_Bahan,Sumber,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
CP001,KZGPI-1990,"Kacang belimbing, rebus","Kacang, Biji, Bean",Olahan/Produk,55.6,204,16.9,8.8,17.5,4.8,0.23,0.18,0.0033,0.043,1.098,0.0032,0.0002,0.0005,0
CP002,KZGPI-1990,"Kacang bogor, goreng","Kacang, Biji, Bean",Olahan/Produk,3,479,12.7,23.2,58.9,1.2,0.135,0.184,0.0029,0,0,0,0.0003,0.0005,0
CP003,KZGPI-1990,"Kacang bogor, rebus","Kacang, Biji, Bean",Olahan/Produk,61.2,161,7.7,2.8,27.1,2,0.056,0.134,0.0014,0,0,0,0.0001,0,0
CP004,KZGPI-1990,"Kacang gude, rebus","Kacang, Biji, Bean",Olahan/Produk,61.5,147,9,0.5,27.5,3.4,0.05,0.175,0.002,0.014,1.126,0.0008,0.0001,0.0001,0
CP005,KZGPI-1990,"kacang hijau, rebus","Kacang, Biji, Bean",Olahan/Produk,71.3,109,8.7,0.5,18.3,1.5,0.095,0.149,0.0015,0.447,0.6578,0.0014,0.0001,0,0.003
CP006,KZGPI-1990,"Kacang kedelai, goreng","Kacang, Biji, Bean",Olahan/Produk,9.6,521,32.2,37.7,22.9,7.6,0.296,0.8,0.0065,3.492,11.89,0,0.02,0.0004,0.019
CP007,KZGPI-1990,"Kacang kedelai, rebus","Kacang, Biji, Bean",Olahan/Produk,56.8,189,20.2,8.2,12.7,1.6,0.091,0.27,0.0039,0.181,0.615,0.0013,0.0002,0,0
CP008,KZGPI- l990,"Kacang merah kering, rebus","Kacang, Biji, Bean",Olahan/Produk,59.6,158,10.3,0.9,28.2,2.6,0.16,0.149,0.0037,0.006,0.311,0.0003,0.0002,0.0001,0
CP009,KZGPI- l990,"Kacang merah segar, rebus","Kacang, Biji, Bean",Olahan/Produk,63.1,144,10,1,24.7,3.5,0.144,0.15,0.0028,0.006,0.311,0.0003,0.0001,0.0001,0
CP010,KZGPI- 1990,"Kacang mete/biji jambu monyet, segar","Kacang, Biji, Bean",Olahan/Produk,1,629,20.4,56.3,19.8,1.1,0.502,0.493,0.008,0.013,0.6417,0.0047,0.0004,0.0002,0
CP011,DABM-1964,Kacang tanah rebus dg kulit,"Kacang, Biji, Bean",Olahan/Produk,40.2,360,13.5,31.2,12.8,0,0.042,0.177,0.0014,0.032,0.483,0.0016,0.0004,0.0001,0.005
CP012,KZGPI- l990,"Kacang tanah, goreng","Kacang, Biji, Bean",Olahan/Produk,2.5,564,25.5,44.4,25.5,2.8,0.106,0.39,0.0041,0,0,0,0.0004,0,0
CP013,KZGPI- l990,"Kacang tanah, rebus","Kacang, Biji, Bean",Olahan/Produk,62.1,220,10.6,18,8,1,0.089,0.273,0.0019,0.036,0.5362,0.0018,0.0001,0,0
CP014,KZGPI- l990,"Kacang tolo, rebus","Kacang, Biji, Bean",Olahan/Produk,64.4,138,10.7,1.1,22.6,0.9,0.165,0.172,0.004,0.013,0.0067,0.0008,0,0.0002,0
CP015,KZGPI- 1990,Ampas kacang hijau,"Kacang, Biji, Bean",Olahan/Produk,70.6,96,3.7,0.6,19.1,2.7,0.133,0.15,0.0013,0,0,0,0.0001,0,0
CP016,KZGPI- 1990,"Ampas tahu, mentah","Kacang, Biji, Bean",Olahan/Produk,84.1,67,5,2.1,8.1,4.1,0.46,0.088,0.001,0.008,0.1845,0.0002,0.0001,0,0
CP017,KZGPI- 1990,Ampas tahu kukus,"Kacang, Biji, Bean",Olahan/Produk,82.5,75,4.1,2.1,10.7,5.1,0.203,0.06,0.0013,0,0,0,0.0001,0,0
CP018,DABM-1964,"Ampas tahu, kering","Kacang, Biji, Bean",Olahan/Produk,9,414,26.6,18.3,41.3,0,0.019,0.029,0.004,0.045,1.0557,0.001,0.0002,0.0001,0
CP019,KZGPI- 1990,Pepea oncom ampas tahu,"Kacang, Biji, Bean",Olahan/Produk,80.9,76,5.2,1.8,10.6,2.2,0.215,0.066,0.0125,0,0,0,0.0001,0,0
CP020,DABM-1964,Bungkil biji karet,"Kacang, Biji, Bean",Olahan/Produk,12,333,29.3,3.3,50,0,0.102,0.66,0.012,0,0,0,0.0001,0,0
CP021,DABM-1964,Bungkil kacang tanah,"Kacang, Biji, Bean",Olahan/Produk,14,336,37.4,13,30.5,0,0.73,0.47,0.0307,0,0,0,0,0,0
CP022,DABM-1964,Bungkil kelapa,"Kacang, Biji, Bean",Olahan/Produk,16,368,23,15,40,0,0.137,0.433,0.0415,0,0,0,0,0.0005,0
CP023,KZGMI-2001,Dodol banjarmasin,"Kacang, Biji, Bean",Olahan/Produk,17.3,368,2.6,8.6,70,0.5,0.051,0.18,0.0033,0.048,0.096,0.0004,0,0.0001,0
CP024,DABM-1964,Emping (kerupuk melinjo),"Kacang, Biji, Bean",Olahan/Produk,13,345,12,1.5,71.5,0,0,0.1,0.4,0.005,0,0,0,0.0002,0
CP025,KZGMI-2001,Emping komak,"Kacang, Biji, Bean",Olahan/Produk,14.2,355,17.8,4.6,60.7,0,0.087,0.304,0.0043,0.024,1.233,0.001,0,0,0
CP026,KZGPI- 1990,Enting-enting gepuk hello kity,"Kacang, Biji, Bean",Olahan/Produk,2.4,538,13.6,30.3,52.6,0.2,0.081,0.248,0.0016,0,0,0,0.001,0,0
CP027,KZGPI- 1990,Enting-enting gepuk kacang tanah,"Kacang, Biji, Bean",Olahan/Produk,4.2,524,13.3,29.2,52,0.2,0.076,0.248,0.0014,0,0,0,0.0006,0,0
CP028,KZGPI- 1990,Enting-enting wijen,"Kacang, Biji, Bean",Olahan/Produk,3.7,565,18.2,38.4,36.8,1.9,0.251,0.502,0.0109,0,0,0,0.0009,0,0
CP029,KZGMI-2001,Geplak,"Kacang, Biji, Bean",Olahan/Produk,29.6,350,1.4,14.4,53.6,1.8,0.151,0.043,0.0021,0,0,0,0.0001,0,0
CP030,KZGMI-2001,Geplak jahe,"Kacang, Biji, Bean",Olahan/Produk,12.4,462,3.1,24.4,57.7,3.3,0.212,0.161,0.0066,0,0,0,0.0001,0,0
CP031,KZGPI- 1990,Kacang atom,"Kacang, Biji, Bean",Olahan/Produk,3.1,533,27.8,38.1,28.8,2.5,0.087,0.423,0.003,0,0,0,0.0001,0,0
CP032,KZGMI-2001,Kacang goyang,"Kacang, Biji, Bean",Olahan/Produk,8.3,516,14.7,31.1,44.4,0,0.034,0.23,0.0007,0.002,0.365,0.0006,0,0,0
CP033,KZGMI-2001,Kacang negara,"Kacang, Biji, Bean",Olahan/Produk,3.1,480,18.4,19.1,58.5,11.7,0.034,0.404,0.0103,1.01,0.385,0.0025,0.0006,0.0001,0
CP034,KZGPI- 1990,Kacang sukro,"Kacang, Biji, Bean",Olahan/Produk,4.7,484,8.8,26.1,57.7,1.8,0.049,0.194,0.0025,0,0,0,0.0001,0,0
CP035,KZGPI- 1990,Kacang tanah sari,"Kacang, Biji, Bean",Olahan/Produk,2.1,561,25.5,43.8,26,2.2,0.05,0.324,0.0031,0,0,0,0.0001,0,0
CP036,DABM-1964,Keju kacang tanah (peanut butter),"Kacang, Biji, Bean",Olahan/Produk,3,590,27,49,20.9,1.6,0.06,0.36,0.002,0.355,0.4924,0.0006,0.0003,0.0002,0
CP037,KZGPI- 1990,Kembang tahu,"Kacang, Biji, Bean",Olahan/Produk,10.8,380,48.9,13.8,23.3,0,0.378,0.781,0.0021,0.055,0.4553,0.0007,0.0002,0.0001,0
CP038,KZGPI- 1990,Kembang tahu rebus,"Kacang, Biji, Bean",Olahan/Produk,79.8,90,10.7,4,4.7,0,0.085,0,0,0,0,0,0,0,0
CP039,KZGPI- 1990,Keripik oncom,"Kacang, Biji, Bean",Olahan/Produk,3,598,8.3,43.8,42.6,3.3,0.085,0.153,0.027,0,0,0,0.0011,0,0
CP040,KZGPI- 1990,Keripik tempe,"Kacang, Biji, Bean",Olahan/Produk,3.3,581,12.1,40.6,41.7,2.2,0.237,0.116,0.0069,0,0,0,0.0004,0,0
CP041,KZGPI- 1990,Keripik tempe abadi besar,"Kacang, Biji, Bean",Olahan/Produk,4.5,556,15.8,37.1,39.8,3.5,0.112,0.215,0.0054,0,0,0,0.0006,0,0
CP042,KZGPI- 1990,Keripik tempe abadi murni,"Kacang, Biji, Bean",Olahan/Produk,3.2,542,40.3,42.4,11.6,2.2,0.175,0.529,0.0052,0,0,0,0.0001,0,0
CP043,KZGPI- 1990,Keripik tempe abadi sedang,"Kacang, Biji, Bean",Olahan/Produk,4.4,510,12.3,27.9,52.4,3.6,0.122,0.211,0.0084,0,0,0,0.0005,0,0
CP044,KZGPI- 1990,Keripik tempe abadi telur,"Kacang, Biji, Bean",Olahan/Produk,4.5,529,20.8,31.7,40.2,3,0.124,0.222,0.0054,0,0,0,0.0009,0,0
CP045,KZGPI- 1990,Kerupik tempe abadi prima,"Kacang, Biji, Bean",Olahan/Produk,4.8,540,16.7,33.9,42,2.2,0.092,0.184,0.0032,0,0,0,0.0004,0,0
CP046,DABM-1964,Kwaci,"Kacang, Biji, Bean",Olahan/Produk,9.9,515,30.6,42.1,13.8,13.6,0.054,0.312,0.0062,0.124,0.4486,0.0007,0,0.0002,0
CP047,KZGPI- 1990,Melinjo emping tebal goreng manis,"Kacang, Biji, Bean",Olahan/Produk,5.6,439,10,16.4,65.7,0,0.066,0.225,0,0,0,0,0.0001,0,0
CP048,KZGPI- 1990,"Melinjo emping tebal, goreng asin","Kacang, Biji, Bean",Olahan/Produk,8,431,11.1,16.2,63,0,0.077,0,0,0,0,0,0.0001,0,0
CP049,KZGPI- 1990,Melinjo emping tipis goreng,"Kacang, Biji, Bean",Olahan/Produk,3.3,485,11.5,24.5,59.1,0,0.085,0.218,0,0,0,0,0.0001,0,0
CP050,KZGMS-1993,Moon tahu,"Kacang, Biji, Bean",Olahan/Produk,79.9,128,8,10,1.3,0.2,0.205,0.092,0.0025,0.393,0,0,0.0005,0,0
CP051,DABM-1964,Oncom,"Kacang, Biji, Bean",Olahan/Produk,57,187,13,6,22.6,0,0.096,0.115,0.027,0,0,0,0.0001,0,0
CP052,KZGPI- 1990,Oncom ampas kacang hijau,"Kacang, Biji, Bean",Olahan/Produk,13.4,376,14.9,6,65.7,12.3,0.199,0.11,0.0109,0,0,0,0,0,0
CP053,KZGPI- 1990,Oncom kacang hijau + singkong,"Kacang, Biji, Bean",Olahan/Produk,16.5,351,11,5.3,65.9,9,0.164,0.113,0.0078,0,0,0,0,0,0
CP054,KZGPI- 1990,Oncom kacang tanah pepes,"Kacang, Biji, Bean",Olahan/Produk,65,132,12.7,3.8,13.7,3.1,0.133,0.355,0.0344,0,0,0,0.0001,0.0002,0
CP055,KZGPI- 1990,Rempeyek kacang tanah,"Kacang, Biji, Bean",Olahan/Produk,3.9,513,17.5,32.5,44.3,1.7,0.065,0.202,0.0026,0,0,0,0.0001,0,0
CP056,KZGPI- 1990,Rempeyek kacang tolo,"Kacang, Biji, Bean",Olahan/Produk,6.1,451,11.2,20.2,59.7,1.8,0.156,0.221,0.0046,0,0,0,0,0,0
CP057,KZGPI- 1990,Rempeyek kacang uci,"Kacang, Biji, Bean",Olahan/Produk,4,497,17,27.6,50.8,2.4,0.166,0.089,0.0067,0,0,0,0.0001,0,0
CP058,KZGMI-2001,Sayur lebui,"Kacang, Biji, Bean",Olahan/Produk,83.9,64,2.1,0.6,12.5,5.7,0.021,0.002,0.001,0.124,0.146,0.0002,0,0,0
CP059,DABM-1964,"Saridele, bubuk","Kacang, Biji, Bean",Olahan/Produk,3,344,30,20,43,6.2,0.45,0.5,0.004,0.056,2.5723,0.003,0.0007,0.0002,0.01
CP060,DABM-1964,Susu kedelai,"Kacang, Biji, Bean",Olahan/Produk,87,41,3.5,2.5,5,0.2,0.05,0.045,0.0007,0.128,0.2879,0.0001,0.0001,0.0001,0.002
CP061,KZGPI- 1990,"Tahu, mentah","Kacang, Biji, Bean",Olahan/Produk,82.2,80,10.9,4.7,0.8,0.1,0.223,0.183,0.0034,0.002,0.0506,0.0002,0,0.0001,0
CP062,KZGPI- 1990,Tahu goreng,"Kacang, Biji, Bean",Olahan/Produk,77.3,115,9.7,8.5,2.5,0.1,0.229,0.2,0.0041,0.007,0.0682,0.0001,0,0.0002,0
CP063,KZGMS-1993,Tahu telur,"Kacang, Biji, Bean",Olahan/Produk,41.8,328,12.6,19.9,24.6,0.4,0.492,0.238,0.0049,0.755,0,0,0.0004,0,0
CP064,KZGPI- 1990,Takwa,"Kacang, Biji, Bean",Olahan/Produk,72.2,148,13.8,8.5,4,0,0.14,0.214,0.0085,0.003,0.079,0.0003,0.0002,0.0001,0
CP065,KZGPI- 1990,Tauco,"Kacang, Biji, Bean",Olahan/Produk,54,184,11.4,5.5,22.2,1.9,0.072,0.463,0.006,1.766,0.233,0.0004,0.0003,0.0002,0
CP066,KZGPI- 1990,"Tauco cap beruang, cake","Kacang, Biji, Bean",Olahan/Produk,11.4,347,7.4,5.2,67.6,3.2,0.063,0.106,0.0062,0,0,0,0.0004,0,0
CP067,KZGPI- 1990,"Tauco cap DAS, cake","Kacang, Biji, Bean",Olahan/Produk,10.2,358,7.5,4.3,70.4,3.1,0.094,0.094,0.0045,0,0,0,0.0003,0,0
CP068,KZGPI- 1990,Tauco cap meong,"Kacang, Biji, Bean",Olahan/Produk,59.7,159,7.4,4.9,21.3,1.6,0.183,0.084,0.0101,1.547,0.2041,0.0003,0.0005,0.0002,0
CP069,KZGPI- 1990,Tauji cap singa,"Kacang, Biji, Bean",Olahan/Produk,30.4,277,9.1,4.7,49.6,1.2,0.068,0.106,0.003,0,0,0,0.0002,0,0
CP070,DABM-1964,Tempe bongkrek,"Kacang, Biji, Bean",Olahan/Produk,72.5,119,4.4,3.5,18.3,0,0.027,0.1,0.0026,0,0,0,0.0001,0,0
CP071,KZGPI- 1990,Tempe gembus P3G,"Kacang, Biji, Bean",Olahan/Produk,81.9,73,5.7,1.3,10.3,4.2,0.204,0.08,0.0015,0,0,0,0.0001,0.0001,0
CP072,KZGPI- 1990,Tempe gembus yogya,"Kacang, Biji, Bean",Olahan/Produk,80.7,76,6.8,0.7,10.6,5.3,0.076,0.142,0.0165,0,0,0,0.0008,0,0
CP073,KZGPI- 1990,Tempe kacang babi,"Kacang, Biji, Bean",Olahan/Produk,64,139,12.5,0.8,21.9,1.8,0.068,0.182,0.0026,0,0,0,0.0001,0,0
CP074,KZGPI- 1990,Tempe kacang belimbing,"Kacang, Biji, Bean",Olahan/Produk,58.2,212,17.5,10,12.9,2.9,0.186,0.16,0.0022,0,0,0,0.0002,0,0
CP075,KZGPI- 1990,Tempe kedelai + jagung,"Kacang, Biji, Bean",Olahan/Produk,70.6,143,12,5.5,11.4,1.9,0.155,0.156,0.0068,0,0,0,0.0003,0.0002,0
CP076,KZGPI- 1990,"Tempe kedelai murni, goreng","Kacang, Biji, Bean",Olahan/Produk,36.8,350,24.5,26.6,10.4,4.2,0.202,0.296,0.0049,0.022,0.6267,0.0008,0.0002,0.0006,0
CP077,KZGPI- 1990,"Tempe kedelai murni, mentah","Kacang, Biji, Bean",Olahan/Produk,55.3,201,20.8,8.8,13.5,1.4,0.155,0.326,0.004,0.009,0.234,0.0006,0.0002,0.0006,0
CP078,DABM-1964,Tempe koro benguk,"Kacang, Biji, Bean",Olahan/Produk,64,141,10.2,1.3,23.2,0,0.042,0.015,0.0026,0,0,0,0.0001,0,0
CP079,KZGPI- 1990,Tempe lamtoro,"Kacang, Biji, Bean",Olahan/Produk,66.8,128,10.7,0.5,21.3,7.1,0.203,0.108,0.0006,0,0,0,0.0002,0,0.002
CP080,KZGPI- 1990,"Tempe lamtoro var, gung dengan kulit","Kacang, Biji, Bean",Olahan/Produk,65.1,146,11.7,2.3,19.6,7.6,0.128,0.041,0.0068,0,0,0,0.0002,0,0
CP081,KZGPI- 1990,"Tempe lamtoro var, gung dengan kulit","Kacang, Biji, Bean",Olahan/Produk,67.1,131,18,0.8,13,1.3,0.095,0.154,0.0124,0,0,0,0.0002,0,0
CP082,KZGPI- 1990,Tempe pasar,"Kacang, Biji, Bean",Olahan/Produk,68.3,150,14,7.7,9.1,1.4,0.517,0.202,0.0015,0.007,0.1659,0.0004,0.0002,0.0004,0
CP083,KZGPI- 1990,Tempe pasar goreng,"Kacang, Biji, Bean",Olahan/Produk,42.9,336,20,28,7.8,3.4,0.156,0.35,0.003,0.02,0.5662,0.0008,0.0001,0.0005,0
CP084,DABM-1964,Tepung hunkwe (pati kacang ijo),"Kacang, Biji, Bean",Olahan/Produk,10,364,4.5,1,83.5,16.1,0.05,0.1,0.001,0.015,1.2329,0.0009,0,0.0002,0
CP085,BKP,Tepung Jalejo,"Kacang, Biji, Bean",Olahan/Produk,10,388,19,7.5,61.2,5.8,0.101,0.663,0.002,0.003,0.712,0.0006,0,0.0007,0.009
CP086,DABM-1964,Tepung kacang kedelai,"Kacang, Biji, Bean",Olahan/Produk,9,347,35.9,20.6,29.9,5.8,0.195,0.544,0.0084,0.052,2.5226,4.303,0.0008,0.0003,0
DR001,KZGPI-1990,"Akar tonjong, segar",Sayuran,Tunggal/Single,86.7,45,1.1,0.4,10.8,1.2,0.072,0.125,0.0013,0.096,1.1471,0,0,0,0.002
DR002,KZGPI-1990,"Ale,toge, segar",Sayuran,Tunggal/Single,90.6,37,4.4,0.5,3.8,1.7,0.05,0.248,0.002,0.002,0.105,0.0002,0,0.0001,0.046
DR003,KZGPI-1990,"Andaliman, segar",Sayuran,Tunggal/Single,74.2,99,4.6,1,18,8.5,0.383,0.107,0.0029,0,0,0,0.003,0,0.015
DR004,DABM-1964,"Andewi, segar",Sayuran,Tunggal/Single,91.8,226,1.6,0.2,5.3,4.1,0.033,0.066,0.001,0.029,0.4146,0.0001,0.0001,0.0001,0.01
DR005,KZGMI-2001,"Bakung, segar",Sayuran,Tunggal/Single,92.5,27,2,0.2,4.2,3.8,0.019,0.02,0.0005,0.037,0.34,0.0002,0.0002,0.0001,0.042
DR006,DABM-1964,"Baligo, segar",Sayuran,Tunggal/Single,96.1,15,0.4,0.2,3,0.4,0.019,0.019,0.0004,0.002,0.1311,0,0,0,0.013
DR007,DABM-1964,"Bawang bombay, segar",Sayuran,Tunggal/Single,87.5,43,1.4,0.2,10.3,2,0.032,0.044,0.0005,0.012,0.0096,0.0001,0,0.0002,0.009
DR008,KZGPI-1990,"Bayam, segar",Sayuran,Tunggal/Single,94.5,16,0.9,0.4,2.9,0.7,0.166,0.076,0.0035,0.016,0.4564,0.0001,0,0.0001,0.041
DR009,KZGMI-2001,"Bayam merah, segar",Sayuran,Tunggal/Single,88.5,41,2.2,0.8,6.3,2.2,0.52,0.08,0.007,0.02,0.06,0.0002,0.0002,0.0001,0.062
DR010,DABM-1964,"Bit, segar",Sayuran,Tunggal/Single,87.6,41,1.6,0.1,9.6,2.6,0.027,0.043,0.001,0.029,0.4049,0.0002,0,0.0001,0.01
DR011,KZGMI-2001,Buah kelor,Sayuran,Tunggal/Single,89.5,38,1.5,0.2,7.5,3.2,0.03,0.054,0,0.048,0.216,0,0.0001,0.0001,0.025
DR012,KZGMI-2001,Buah merah,Sayuran,Tunggal/Single,81.2,87,2.6,2.7,13.1,4,0.03,0.001,0.0011,0.11,0.14,0.0001,0.0015,0.0001,0.015
DR013,KZGPI-1990,"Buncis, segar",Sayuran,Tunggal/Single,89.6,34,2.4,0.3,7.2,1.9,0.101,0.042,0.0007,0.008,0.25,0.0001,0.0001,0.0004,0.011
DR014,KZGPI-1990,"Bunga pepaya, segar",Sayuran,Tunggal/Single,87.3,45,2.6,0.3,8.1,1.6,0.29,0.113,0.0042,0.002,0.4783,0.0001,0,0.0003,0.023
DR015,BKP,"Bunga turi, segar",Sayuran,Tunggal/Single,90.4,42,2,1.1,6.1,3.3,0.028,0.023,0.0008,0.029,0.0974,0.0001,0.0005,0,0.001
DR016,KZGPI-1990,"Caisin, segar",Sayuran,Tunggal/Single,93.6,20,1.7,0.4,3.4,1.2,0.123,0.04,0.0019,0.018,0.3582,0.0001,0,0.0002,0.003
DR017,KZGPI-1990,"Daun bangun-bangun, segar",Sayuran,Tunggal/Single,92.5,27,1.3,0.6,4,1,0.279,0.04,0.0136,0.004,0.144,0,0.0002,0.0001,0.005
DR018,KZGMI-2001,"Daun bawang merah, segar",Sayuran,Tunggal/Single,89.1,41,2,0.3,7.8,2.1,0.06,0.04,0.0023,0.03,0.09,0.0001,0.0001,0.0001,0.011
DR019,KZGPI-1990,"Daun bebuas, segar",Sayuran,Tunggal/Single,87.9,41,2.7,1,7.3,2.1,0.029,0.245,0.0015,0,0,0,0,0,0.003
DR020,KZGPI-1990,"Daun belem, segar",Sayuran,Tunggal/Single,84.6,50,4.4,1.4,7.8,1.9,0.698,0.151,0.0075,0,0,0,0.0001,0,0.021
DR021,DABM-1964,"Daun bluntas, segar",Sayuran,Tunggal/Single,86,44,1.8,0.5,9.4,0,0.256,0.049,0.0056,0,0,0,0,0,0.03
DR022,DABM-1964,"Daun gandaria, segar",Sayuran,Tunggal/Single,81,63,3.1,0.3,14,2.1,0.04,0.045,0.0047,0.003,0.1277,0,0,0,0.061
DR023,KZGMI-2001,"Daun gedi besar, segar",Sayuran,Tunggal/Single,84,58,2.9,0.7,10,3.3,0.44,0.1,0.0019,0.03,0.04,0.0002,0.0004,0.0005,0.011
DR024,KZGMI-2001,"Daun gedi kecil, segar",Sayuran,Tunggal/Single,83.7,61,3.2,0.7,10.4,3.4,0.42,0.07,0.0017,0.02,0.05,0.0001,0.0004,0.0003,0.011
DR025,KZGPI-1990,"Daun gelang, segar",Sayuran,Tunggal/Single,90.3,30,1.3,0.7,5.8,1.3,0.35,0.21,0.0119,0.005,0.3333,0.0003,0,0.0001,0.001
DR026,KZGPI-1990,"Daun gunda bali, segar",Sayuran,Tunggal/Single,86.4,50,4.6,0.9,7,1.4,0.167,0.062,0.0005,0,0,0,0.0001,0,0.02
DR027,KZGPI-1990,"Daun gunda serang, segar",Sayuran,Tunggal/Single,84.6,62,4.2,0.9,9.2,1.3,0.171,0.064,0.0006,0,0,0,0,0,0.02
DR028,DABM-1964,"Daun jambu mete muda, segar",Sayuran,Tunggal/Single,78,78,4.6,0.5,16.2,3,0.033,0.064,0.0089,0.014,0.6705,0,0,0.0011,0.065
DR029,KZGPI-1990,"Daun jampang, segar",Sayuran,Tunggal/Single,88.9,34,3.8,0.5,5.3,1.4,0.021,0.245,0.001,0,0,0,0,0,0.003
DR030,KZGMI-2001,"Daun jawaw seluang, segar",Sayuran,Tunggal/Single,77.2,93,5,1.3,15.3,3.9,0.146,0.103,0.0053,0.002,0.434,0.0005,0.0001,0.0007,0.009
DR031,KZGPI-1990,"Daun jonghe, segar",Sayuran,Tunggal/Single,91.4,27,2.1,0.7,4.4,2,0.253,0.192,0.0095,0,0,0,0,0,0.001
DR032,KZGPI-1990,"Daun kacang ma, segar",Sayuran,Tunggal/Single,89.1,36,2.9,0.6,6.8,1.8,0.064,0.22,0.0022,0.007,0.4853,0.0002,0,0.0002,0.004
DR033,KZGPI-1990,"Daun kacang panjang, segar",Sayuran,Tunggal/Single,89.7,30,3.1,0.3,5.8,1.7,0.2,0.066,0.0045,0.007,0.4586,0.0002,0.0003,0.0002,0.03
DR034,KZGMI-2001,"Daun kasbi/singkong karet ,segar",Sayuran,Tunggal/Single,80.3,92,4,3.6,10.9,5.8,0.14,0.07,0.0016,0.07,0.09,0.0003,0.0001,0.0002,0.074
DR035,KZGPI-1990,"Daun katuk, segar",Sayuran,Tunggal/Single,81,59,6.4,1,9.9,1.5,0.233,0.098,0.0035,0.021,0.4788,0.0003,0,0.0003,0.016
DR036,DABM-1964,"Daun kecipir, segar",Sayuran,Tunggal/Single,85,52,5,0.5,8.5,0,0.134,0.081,0.0062,0.006,0.114,0.0003,0.0003,0.0004,0.029
DR037,DABM-1964,"Daun kedondong, segar",Sayuran,Tunggal/Single,81,59,3.5,0.3,13.4,10.7,0.54,0.082,0.0062,0.012,0.579,0,0.0001,0.0002,0.029
DR038,KZGMI-2001,"Daun kelor, segar",Sayuran,Tunggal/Single,75.5,92,5.1,1.6,14.3,8.2,1.077,0.076,0.006,0.061,0.298,0.0001,0.0003,0.0001,0.022
DR039,DABM-1964,"Daun kemang, segar",Sayuran,Tunggal/Single,85,43,5.5,0.3,7.5,8.4,0.035,0.106,0.001,0.01,0.4571,0,0.0001,0.0001,0.03
DR040,BKP,"Daun kenikir, segar",Sayuran,Tunggal/Single,87.6,45,3.7,0.5,6.6,5.8,0.328,0.065,0.0027,0.006,0.431,0.0001,0.0005,0.0003,0
DR041,KZGPI-1990,"Daun kesum, segar",Sayuran,Tunggal/Single,84.8,48,4.5,0.8,9.1,1.6,0.125,0.142,0.0026,0.011,0.1747,0.0004,0,0.0001,0.004
DR042,KZGPI-1990,"Daun kol sawi, segar",Sayuran,Tunggal/Single,93.1,22,2.1,0.5,3.6,0.9,0.2,0.092,0.0032,0.019,0.3862,0.0001,0,0.0002,0.003
DR043,DABM-1964,"Daun koro, segar",Sayuran,Tunggal/Single,91,23,3,0.3,3.7,0,0.134,0.081,0.0062,0.004,0.0684,0.0002,0.0003,0.0002,0.029
DR044,KZGMI-2001,"Daun kubis, segar",Sayuran,Tunggal/Single,86.2,51,2.5,1.1,8,3.4,0.1,0.05,0.0034,0.05,0.1,0.0009,0.0004,0.0001,0.016
DR045,KZGPI-1990,"Daun kumak, segar",Sayuran,Tunggal/Single,95.2,14,1.3,0.3,2.3,0.9,0.09,0.059,0.0027,0.002,0.0365,0.0001,0,0,0.003
DR046,DABM-1964,"Daun labu siam, segar",Sayuran,Tunggal/Single,89.7,34,4,0.4,4.7,3.5,0.058,0.07,0.0025,0.016,0.6307,0.0002,0.0001,0.0004,0.016
DR047,DABM-1964,"Daun labu waluh/kuning, segar",Sayuran,Tunggal/Single,89.7,34,3.6,0.6,4.5,2.9,0.138,0.099,0.0037,0.016,0.6307,0.0002,0.0001,0.0002,0.036
DR048,KZGPI-1990,"Daun lamtoro, segar",Sayuran,Tunggal/Single,74,87,8.3,1.8,14.4,3.3,0.725,0.174,0.0039,0.01,0.1977,0.0005,0,0.0001,0.032
DR049,KZGMI-2001,"Daun leilem, segar",Sayuran,Tunggal/Single,79.4,76,2.8,0.2,15.8,3.1,0.296,0.022,0.0034,0.006,0.046,0.0005,0.0003,0.0001,0.022
DR050,DABM-1964,"Daun leunca, segar",Sayuran,Tunggal/Single,85,49,4.7,0.5,8.1,0,0.21,0.08,0.0061,0,0,0,0.0001,0,0.04
DR051,DKBM-1964,"Daun lobak, segar",Sayuran,Tunggal/Single,90,30,2.3,0.4,5.8,3.2,0.14,0.033,0.0037,0.016,0.7474,0.0002,0.0001,0.0011,0.01
DR052,DABM-1964,"Daun lompong talas, segar",Sayuran,Tunggal/Single,87.2,44,3,0.8,7.4,3.3,0.076,0.059,0.001,0.003,0.5784,0.0002,0.0001,0.0004,0.031
DR053,DABM-1964,"Daun mangkokan, segar",Sayuran,Tunggal/Single,82,57,3.7,0.3,11.8,0,0.474,0.049,0.004,0,0,0,0.0001,0,0.083
DR054,KZGPI-1990,"Daun matel ambon, segar",Sayuran,Tunggal/Single,77.1,71,6.8,1.6,11.5,4.6,0.093,0.095,0.0102,0,0,0,0.0001,0,0.026
DR055,DABM-1964,"Daun melinjo, segar",Sayuran,Tunggal/Single,70.8,104,5,1.3,21.3,10.3,0.219,0.082,0.0042,0.012,0.6048,0.0004,0.0001,0,0.018
